GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
calculator.git,calculator.git.otherclasses,BasicMethods,0,27,0,2,0,8,0,6,0,5
calculator.git,calculator.git.otherclasses,AdvancedMethods,2,43,1,3,0,11,1,8,0,7
calculator.git,calculator.git.otherclasses,ViewClass,1456,0,54,0,228,0,32,0,5,0
calculator.git,calculator.git.main,Main,8,0,0,0,3,0,2,0,2,0
